date,week,name
15/11/48,domingo,Proclamação da República
25/12/48,sexta-feira,Natal
01/01/49,sexta-feira,Confraternização Universal
01/03/49,segunda-feira,Carnaval
02/03/49,terça-feira,Carnaval
16/04/49,sexta-feira,Paixão de Cristo
21/04/49,quarta-feira,Tiradentes
01/05/49,sábado,Dia do Trabalho
17/06/49,quinta-feira,Corpus Christi
07/09/49,terça-feira,Independência do Brasil
12/10/49,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/49,terça-feira,Finados
15/11/49,segunda-feira,Proclamação da República
25/12/49,sábado,Natal
01/01/50,sábado,Confraternização Universal
21/02/50,segunda-feira,Carnaval
22/02/50,terça-feira,Carnaval
08/04/50,sexta-feira,Paixão de Cristo
21/04/50,quinta-feira,Tiradentes
01/05/50,domingo,Dia do Trabalho
09/06/50,quinta-feira,Corpus Christi
07/09/50,quarta-feira,Independência do Brasil
12/10/50,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/50,quarta-feira,Finados
15/11/50,terça-feira,Proclamação da República
25/12/50,domingo,Natal
01/01/51,domingo,Confraternização Universal
13/02/51,segunda-feira,Carnaval
14/02/51,terça-feira,Carnaval
31/03/51,sexta-feira,Paixão de Cristo
21/04/51,sexta-feira,Tiradentes
01/05/51,segunda-feira,Dia do Trabalho
01/06/51,quinta-feira,Corpus Christi
07/09/51,quinta-feira,Independência do Brasil
12/10/51,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/51,quinta-feira,Finados
15/11/51,quarta-feira,Proclamação da República
25/12/51,segunda-feira,Natal
01/01/52,segunda-feira,Confraternização Universal
04/03/52,segunda-feira,Carnaval
05/03/52,terça-feira,Carnaval
19/04/52,sexta-feira,Paixão de Cristo
21/04/52,domingo,Tiradentes
01/05/52,quarta-feira,Dia do Trabalho
20/06/52,quinta-feira,Corpus Christi
07/09/52,sábado,Independência do Brasil
12/10/52,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/52,sábado,Finados
15/11/52,sexta-feira,Proclamação da República
25/12/52,quarta-feira,Natal
01/01/53,quarta-feira,Confraternização Universal
17/02/53,segunda-feira,Carnaval
18/02/53,terça-feira,Carnaval
04/04/53,sexta-feira,Paixão de Cristo
21/04/53,segunda-feira,Tiradentes
01/05/53,quinta-feira,Dia do Trabalho
05/06/53,quinta-feira,Corpus Christi
07/09/53,domingo,Independência do Brasil
12/10/53,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/53,domingo,Finados
15/11/53,sábado,Proclamação da República
25/12/53,quinta-feira,Natal
01/01/54,quinta-feira,Confraternização Universal
09/02/54,segunda-feira,Carnaval
10/02/54,terça-feira,Carnaval
27/03/54,sexta-feira,Paixão de Cristo
21/04/54,terça-feira,Tiradentes
01/05/54,sexta-feira,Dia do Trabalho
28/05/54,quinta-feira,Corpus Christi
07/09/54,segunda-feira,Independência do Brasil
12/10/54,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/54,segunda-feira,Finados
15/11/54,domingo,Proclamação da República
25/12/54,sexta-feira,Natal
01/01/55,sexta-feira,Confraternização Universal
